im_idx: 0, iters: 7, loss: -0.02, w: [0.11000000000000001, 0.1, 0.09, 0.09, 0.1, 0.1, 0.09, 0.1, 0.1, 0.095]
im_idx: 2, iters: 4, loss: 8.04, w: [0.10500000000000001, 0.08499999999999999, 0.095, 0.08499999999999999, 0.095, 0.09, 0.09, 0.11000000000000001, 0.1, 0.1]
im_idx: 3, iters: 1, loss: 6.04, w: [0.095, 0.08499999999999999, 0.10500000000000001, 0.08499999999999999, 0.095, 0.11000000000000001, 0.09, 0.09, 0.1, 0.1]
im_idx: 4, iters: 9, loss: -2.00, w: [0.095, 0.10500000000000001, 0.095, 0.095, 0.095, 0.095, 0.10500000000000001, 0.1, 0.1, 0.1]
im_idx: 5, iters: 1, loss: -3.93, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 6, iters: 1, loss: -0.96, w: [0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 7, iters: 1, loss: -2.12, w: [0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.095, 0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1]
im_idx: 8, iters: 4, loss: 10.23, w: [0.10500000000000001, 0.11500000000000002, 0.10500000000000001, 0.095, 0.10500000000000001, 0.09, 0.11000000000000001, 0.1, 0.09, 0.09]
im_idx: 9, iters: 22, loss: 4.02, w: [0.095, 0.095, 0.095, 0.11500000000000002, 0.10500000000000001, 0.1, 0.09, 0.09, 0.1, 0.1]
im_idx: 10, iters: 2, loss: -0.07, w: [0.10500000000000001, 0.095, 0.095, 0.095, 0.10500000000000001, 0.095, 0.10500000000000001, 0.1, 0.1, 0.1]
im_idx: 11, iters: 1, loss: -0.54, w: [0.10500000000000001, 0.095, 0.10500000000000001, 0.095, 0.10500000000000001, 0.095, 0.10500000000000001, 0.095, 0.095, 0.10500000000000001]
im_idx: 12, iters: 1, loss: -1.50, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 13, iters: 4, loss: 2.63, w: [0.10500000000000001, 0.095, 0.095, 0.10500000000000001, 0.095, 0.1, 0.11000000000000001, 0.09, 0.11000000000000001, 0.09]
im_idx: 14, iters: 1, loss: -0.09, w: [0.1, 0.1, 0.09, 0.1, 0.1, 0.1, 0.10500000000000001, 0.095, 0.10500000000000001, 0.10500000000000001]
im_idx: 15, iters: 1, loss: -0.54, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 16, iters: 1, loss: -0.66, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 17, iters: 1, loss: -2.29, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 18, iters: 34, loss: -0.53, w: [0.09, 0.11000000000000001, 0.11000000000000001, 0.09, 0.1, 0.1, 0.1, 0.1, 0.095, 0.10500000000000001]
im_idx: 19, iters: 3, loss: 4.84, w: [0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.1, 0.11000000000000001, 0.09, 0.1, 0.09]
im_idx: 20, iters: 1, loss: -0.70, w: [0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 21, iters: 1, loss: -6.06, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 22, iters: 1, loss: -9.28, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 23, iters: 1, loss: 3.75, w: [0.095, 0.11500000000000002, 0.10500000000000001, 0.11500000000000002, 0.10500000000000001, 0.09, 0.1, 0.1, 0.1, 0.1]
im_idx: 24, iters: 9, loss: 13.04, w: [0.095, 0.10500000000000001, 0.095, 0.095, 0.10500000000000001, 0.1, 0.1, 0.1, 0.11000000000000001, 0.11000000000000001]
im_idx: 25, iters: 1, loss: 2.76, w: [0.10500000000000001, 0.095, 0.10500000000000001, 0.095, 0.10500000000000001, 0.1, 0.1, 0.09, 0.1, 0.11000000000000001]
im_idx: 26, iters: 5, loss: 1.10, w: [0.095, 0.095, 0.08499999999999999, 0.11500000000000002, 0.11500000000000002, 0.11000000000000001, 0.11000000000000001, 0.09, 0.11000000000000001, 0.1]
im_idx: 27, iters: 1, loss: -0.97, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 29, iters: 1, loss: 1.14, w: [0.11500000000000002, 0.10500000000000001, 0.10500000000000001, 0.11500000000000002, 0.095, 0.09, 0.1, 0.09, 0.1, 0.1]
im_idx: 30, iters: 1, loss: -0.15, w: [0.095, 0.095, 0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 31, iters: 1, loss: -2.23, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 32, iters: 3, loss: 0.67, w: [0.095, 0.10500000000000001, 0.08499999999999999, 0.11500000000000002, 0.10500000000000001, 0.11000000000000001, 0.09, 0.11000000000000001, 0.11000000000000001, 0.1]
im_idx: 33, iters: 8, loss: -1.08, w: [0.095, 0.095, 0.095, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 34, iters: 1, loss: 8.19, w: [0.10500000000000001, 0.10500000000000001, 0.11500000000000002, 0.095, 0.08499999999999999, 0.1, 0.1, 0.09, 0.11000000000000001, 0.09]
im_idx: 35, iters: 2, loss: 6.98, w: [0.095, 0.095, 0.10500000000000001, 0.08499999999999999, 0.095, 0.11000000000000001, 0.1, 0.11000000000000001, 0.11000000000000001, 0.11000000000000001]
im_idx: 36, iters: 8, loss: -1.28, w: [0.10500000000000001, 0.095, 0.095, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 37, iters: 1, loss: -0.10, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 38, iters: 1, loss: 7.06, w: [0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.095, 0.095, 0.09, 0.1, 0.1, 0.11000000000000001, 0.11000000000000001]
im_idx: 39, iters: 3, loss: -0.54, w: [0.1, 0.1, 0.10500000000000001, 0.095, 0.095, 0.10500000000000001, 0.10500000000000001, 0.095, 0.095, 0.095]
im_idx: 40, iters: 2, loss: -0.03, w: [0.11500000000000002, 0.095, 0.10500000000000001, 0.11500000000000002, 0.11000000000000001, 0.1, 0.09, 0.09, 0.1, 0.11000000000000001]
