im_idx: 62, iters: 1, loss: -1.23, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 64, iters: 14, loss: -0.79, w: [0.095, 0.095, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1]
im_idx: 66, iters: 10, loss: -0.12, w: [0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.095, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 70, iters: 36, loss: -1.93, w: [0.11000000000000001, 0.11000000000000001, 0.1, 0.1, 0.09, 0.1, 0.1, 0.11000000000000001, 0.095, 0.10500000000000001]
im_idx: 71, iters: 45, loss: -0.09, w: [0.08499999999999999, 0.10500000000000001, 0.09, 0.09, 0.1, 0.11000000000000001, 0.1, 0.11000000000000001, 0.1, 0.1]
im_idx: 73, iters: 6, loss: -2.16, w: [0.095, 0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 75, iters: 2, loss: -1.37, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 77, iters: 28, loss: -0.00, w: [0.1, 0.09, 0.09, 0.1, 0.095, 0.10500000000000001, 0.10500000000000001, 0.095, 0.10500000000000001, 0.095]
im_idx: 78, iters: 11, loss: -0.62, w: [0.10500000000000001, 0.095, 0.10500000000000001, 0.10500000000000001, 0.095, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 79, iters: 1, loss: -0.95, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 80, iters: 39, loss: -0.05, w: [0.1, 0.1, 0.1, 0.1, 0.09, 0.09, 0.11000000000000001, 0.1, 0.1, 0.10500000000000001]
im_idx: 81, iters: 2, loss: -3.66, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 82, iters: 2, loss: -0.88, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 83, iters: 3, loss: -2.70, w: [0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 84, iters: 49, loss: -0.13, w: [0.10500000000000001, 0.095, 0.095, 0.095, 0.11000000000000001, 0.11000000000000001, 0.1, 0.1, 0.1, 0.1]
im_idx: 85, iters: 2, loss: -1.03, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 88, iters: 22, loss: -0.41, w: [0.1, 0.095, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.095, 0.095, 0.095, 0.10500000000000001]
im_idx: 90, iters: 2, loss: -0.72, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 94, iters: 16, loss: -0.10, w: [0.10500000000000001, 0.10500000000000001, 0.095, 0.10500000000000001, 0.10500000000000001, 0.095, 0.10500000000000001, 0.10500000000000001, 0.1, 0.1]
im_idx: 96, iters: 2, loss: -0.61, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 98, iters: 5, loss: -3.85, w: [0.10500000000000001, 0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
