im_idx: 41, iters: 1, loss: -1.42, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 42, iters: 1, loss: -5.81, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 43, iters: 1, loss: -2.25, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 44, iters: 1, loss: -1.70, w: [0.095, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 45, iters: 1, loss: -3.64, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 46, iters: 1, loss: -3.71, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 47, iters: 1, loss: 1.73, w: [0.095, 0.10500000000000001, 0.095, 0.095, 0.10500000000000001, 0.11000000000000001, 0.1, 0.09, 0.11000000000000001, 0.09]
im_idx: 48, iters: 1, loss: -2.74, w: [0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 49, iters: 1, loss: -0.10, w: [0.10500000000000001, 0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 50, iters: 1, loss: 3.07, w: [0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.095, 0.11000000000000001, 0.11000000000000001, 0.1, 0.1, 0.11000000000000001]
im_idx: 51, iters: 1, loss: -2.85, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 52, iters: 1, loss: -5.79, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 53, iters: 1, loss: -9.00, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 54, iters: 1, loss: -0.44, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 55, iters: 1, loss: -0.48, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 56, iters: 1, loss: -1.05, w: [0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 57, iters: 1, loss: -0.29, w: [0.095, 0.095, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 58, iters: 1, loss: -0.98, w: [0.10500000000000001, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 59, iters: 1, loss: -0.93, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 60, iters: 1, loss: -0.65, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 61, iters: 1, loss: -2.07, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 62, iters: 1, loss: -6.02, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
