im_idx: 0, iters: 4, loss: -5.15, w: [0.095, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 0, iters: 4, loss: -5.15, w: [0.095, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 2, iters: 2, loss: -0.26, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 3, iters: 7, loss: -0.24, w: [0.095, 0.095, 0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 4, iters: 3, loss: -3.90, w: [0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 5, iters: 1, loss: -5.93, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 6, iters: 1, loss: -3.82, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 7, iters: 1, loss: -1.75, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 2, iters: 2, loss: -0.26, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 3, iters: 6, loss: -0.09, w: [0.095, 0.095, 0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 4, iters: 3, loss: -1.28, w: [0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 5, iters: 1, loss: -5.93, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 6, iters: 1, loss: -3.82, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 7, iters: 1, loss: -1.75, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 8, iters: 37, loss: -0.42, w: [0.1, 0.1, 0.09, 0.1, 0.09, 0.1, 0.11000000000000001, 0.09, 0.10500000000000001, 0.095]
im_idx: 9, iters: 19, loss: -1.42, w: [0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.095, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.10500000000000001, 0.095, 0.1]
im_idx: 10, iters: 2, loss: -1.98, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 11, iters: 23, loss: -1.36, w: [0.1, 0.095, 0.10500000000000001, 0.10500000000000001, 0.095, 0.095, 0.10500000000000001, 0.10500000000000001, 0.095, 0.095]
im_idx: 12, iters: 1, loss: -3.68, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 13, iters: 9, loss: -0.36, w: [0.095, 0.095, 0.10500000000000001, 0.095, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 14, iters: 2, loss: -0.05, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 15, iters: 1, loss: -4.35, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 16, iters: 1, loss: -3.13, w: [0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
im_idx: 17, iters: 2, loss: -2.80, w: [0.10500000000000001, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
